longitude,latitude,emt_situac,emt_linha,emt_empres,emt_nome
-46.63263473336286,-23.55051234497078,OPERANDO,AZUL,METRO,SÉ
-46.47062568290377,-23.54181675329871,OPERANDO,VERMELHA,METRO,CORINTHIANS-ITAQUERA
-46.48413781625269,-23.53979993887436,OPERANDO,VERMELHA,METRO,ARTUR ALVIM
-46.50092954630922,-23.53069438786089,OPERANDO,VERMELHA,METRO,PATRIARCA
-46.51609586550162,-23.52877461241444,OPERANDO,VERMELHA,METRO,GUILHERMINA-ESPERANÇA
-46.53055297518104,-23.53138908755249,OPERANDO,VERMELHA,METRO,VILA MATILDE
-46.54189647447373,-23.5329930384848,OPERANDO,VERMELHA,METRO,PENHA
-46.56370255651946,-23.53736280860217,OPERANDO,VERMELHA,METRO,CARRÃO
-46.57583156589261,-23.53995169338172,OPERANDO,VERMELHA,METRO,TATUAPÉ
-46.58965472109169,-23.54253442655326,OPERANDO,VERMELHA,METRO,BELÉM
-46.60708684306275,-23.54598821973153,OPERANDO,VERMELHA,METRO,BRESSER-MOOCA
-46.61545568806434,-23.54739628229581,OPERANDO,VERMELHA,METRO,BRÁS
-46.62545603794589,-23.54922741506487,OPERANDO,VERMELHA,METRO,PEDRO II
-46.63268117324461,-23.55043330714785,OPERANDO,VERMELHA,METRO,SÉ
-46.63843213523854,-23.54745954807643,OPERANDO,VERMELHA,METRO,ANHANGABAÚ
-46.64269559340604,-23.54340586337702,OPERANDO,VERMELHA,METRO,REPÚBLICA
-46.64842603997531,-23.53915007318447,OPERANDO,VERMELHA,METRO,SANTA CECÍLIA
-46.65557308106885,-23.53303033565809,OPERANDO,VERMELHA,METRO,MARECHAL DEODORO
-46.66691913196691,-23.52545981857109,OPERANDO,VERMELHA,METRO,PALMEIRAS-BARRA FUNDA
-46.6904009452018,-23.54590282143023,OPERANDO,VERDE,METRO,VILA MADALENA
-46.67708464085239,-23.55052831516381,OPERANDO,VERDE,METRO,SANTUÁRIO NOSSA SENHORA DE FÁTIMA-SUMARÉ
-46.67030840699337,-23.55362311351245,OPERANDO,VERDE,METRO,CLÍNICAS
-46.6607385964722,-23.55673994061458,OPERANDO,VERDE,METRO,CONSOLAÇÃO
-46.65396235288721,-23.56267329106949,OPERANDO,VERDE,METRO,TRIANON-MASP
-46.64690027244,-23.5683918941244,OPERANDO,VERDE,METRO,BRIGADEIRO
-46.64060210157876,-23.57527992853601,OPERANDO,VERDE,METRO,PARAÍSO
-46.63817390274432,-23.58086684665557,OPERANDO,VERDE,METRO,ANA ROSA
-46.63003289225332,-23.59214355094298,OPERANDO,VERDE,METRO,CHÁCARA KLABIN
-46.62024672295895,-23.59544932033362,OPERANDO,VERDE,METRO,SANTOS-IMIGRANTES
-46.61191673132109,-23.60170618253819,OPERANDO,VERDE,METRO,ALTO DO IPIRANGA
-46.60271881116245,-23.60092647348641,OPERANDO,VERDE,METRO,SACOMÃ
-46.58912139437042,-23.59245008035689,OPERANDO,VERDE,METRO,TAMANDUATEÍ
-46.58145312828626,-23.58383755629474,OPERANDO,VERDE,METRO,VILA PRUDENTE
-46.63419734944684,-23.58861927728745,OPERANDO,AZUL,METRO,VILA MARIANA
-46.60269762729578,-23.47949261221748,OPERANDO,AZUL,METRO,TUCURUVI
-46.60836791568736,-23.48654480950053,OPERANDO,AZUL,METRO,PARADA INGLESA
-46.61665646782611,-23.49192868375448,OPERANDO,AZUL,METRO,AYRTON SENNA-JARDIM SÃO PAULO
-46.6243196888999,-23.50208103914587,OPERANDO,AZUL,METRO,SANTANA
-46.62450938437239,-23.50878770059294,OPERANDO,AZUL,METRO,CARANDIRU
-46.62470807925079,-23.51564339080641,OPERANDO,AZUL,METRO,PORTUGUESA-TIETÊ
-46.6288865321601,-23.52501212518413,OPERANDO,AZUL,METRO,ARMÊNIA
-46.63171825076229,-23.53017013371885,OPERANDO,AZUL,METRO,TIRADENTES
-46.63321689680977,-23.53641429246614,OPERANDO,AZUL,METRO,LUZ
-46.63371330803515,-23.54359609941199,OPERANDO,AZUL,METRO,SÃO BENTO
-46.63528033755068,-23.55448828017117,OPERANDO,AZUL,METRO,JAPÃO-LIBERDADE
-46.63824308892438,-23.56142293855079,OPERANDO,AZUL,METRO,SÃO JOAQUIM
-46.6394832544903,-23.56842651905451,OPERANDO,AZUL,METRO,VERGUEIRO
-46.64032022409238,-23.57523604435039,OPERANDO,AZUL,METRO,PARAÍSO
-46.63799858455071,-23.58076885511483,OPERANDO,AZUL,METRO,ANA ROSA
-46.63419734944684,-23.58861927728745,OPERANDO,AZUL,METRO,VILA MARIANA
-46.63623453894688,-23.59834106777641,OPERANDO,AZUL,METRO,SANTA CRUZ
-46.63743004829163,-23.61015347919135,OPERANDO,AZUL,METRO,PRAÇA DA ÁRVORE
-46.63878360952152,-23.61812057115272,OPERANDO,AZUL,METRO,SAÚDE
-46.64035785172732,-23.62526311591854,OPERANDO,AZUL,METRO,SÃO JUDAS
-46.64087837420149,-23.63488934582344,OPERANDO,AZUL,METRO,CONCEIÇÃO
-46.64053705878608,-23.64599472610937,OPERANDO,AZUL,METRO,JABAQUARA
-46.56144702356511,-23.58168915076103,OPERANDO,PRATA,METRO,ORATÓRIO
-46.58333483104214,-23.58426118933258,OPERANDO,PRATA,METRO,VILA PRUDENTE
-46.54391658632589,-23.58880607649485,OPERANDO,PRATA,METRO,SÃO LUCAS
-46.52664245150977,-23.60043191714905,OPERANDO,PRATA,METRO,VILA TOLSTÓI
-46.51566037707948,-23.60238117175297,OPERANDO,PRATA,METRO,VILA UNIÃO
-46.5372404213964,-23.59492437227171,OPERANDO,PRATA,METRO,CAMILO HADDAD
-46.76755727024693,-23.65881106283301,OPERANDO,LILAS,METRO,CAPÃO REDONDO
-46.75850590029044,-23.648896209487,OPERANDO,LILAS,METRO,CAMPO LIMPO
-46.7452818020148,-23.63991801659864,OPERANDO,LILAS,METRO,VILA DAS BELEZAS
-46.73364164719253,-23.64347650508624,OPERANDO,LILAS,METRO,GIOVANNI GRONCHI
-46.72047975672339,-23.65526188729346,OPERANDO,LILAS,METRO,SANTO AMARO
-46.7090808166638,-23.65397483824906,OPERANDO,LILAS,METRO,LARGO TREZE
-46.70342924062653,-23.6491643114124,OPERANDO,LILAS,METRO,ADOLFO PINHEIRO
-46.69860134921409,-23.64101260453853,OPERANDO,LILAS,METRO,ALTO DA BOA VISTA
-46.69256098790521,-23.63287291900485,OPERANDO,LILAS,METRO,BORBA GATO
-46.68757433074988,-23.62676493551237,OPERANDO,LILAS,METRO,BROOKLIN
-46.66853738922119,-23.6096567964706,OPERANDO,LILAS,METRO,EUCALIPTOS
-46.66153295138778,-23.6028406273082,OPERANDO,LILAS,METRO,MOEMA
-46.64490614854463,-23.59767157544867,OPERANDO,LILAS,METRO,HOSPITAL SÃO PAULO
-46.63672377606186,-23.59798709454261,OPERANDO,LILAS,METRO,SANTA CRUZ
-46.63003289225332,-23.59214355094298,OPERANDO,LILAS,METRO,CHÁCARA KLABIN
-46.65134613635907,-23.59714772193995,OPERANDO,LILAS,METRO,AACD-SERVIDOR
-46.63403841248596,-23.53566673483989,OPERANDO,AMARELA,VIAQUATRO,LUZ
-46.6425717520841,-23.54409413897041,OPERANDO,AMARELA,VIAQUATRO,REPÚBLICA
-46.66173291552705,-23.55458785295127,OPERANDO,AMARELA,VIAQUATRO,PAULISTA
-46.69353392764871,-23.56667024930191,OPERANDO,AMARELA,VIAQUATRO,FARIA LIMA
-46.70124146301619,-23.56669551463832,OPERANDO,AMARELA,VIAQUATRO,PINHEIROS
-46.70778547168847,-23.57150494697034,OPERANDO,AMARELA,VIAQUATRO,BUTANTÃ
-46.68371105332064,-23.56568063183548,OPERANDO,AMARELA,VIAQUATRO,FRADIQUE COUTINHO
-46.65180781970177,-23.54846350381975,OPERANDO,AMARELA,VIAQUATRO,HIGIENÓPOLIS-MACKENZIE
-46.67162993392821,-23.56003016247614,OPERANDO,AMARELA,VIAQUATRO,OSCAR FREIRE
-46.7233758088851,-23.58590096679568,OPERANDO,AMARELA,VIAQUATRO,SÃO PAULO-MORUMBI
-46.68186480712554,-23.61848566711019,OPERANDO,LILAS,METRO,CAMPO BELO
-46.47622991038221,-23.61159876887482,OPERANDO,PRATA,METRO,SÃO MATEUS
-46.48701948592205,-23.61119951239307,OPERANDO,PRATA,METRO,FAZENDA DA JUTA
-46.50097468604353,-23.61426426862317,OPERANDO,PRATA,METRO,SAPOPEMBA
-46.50659991434945,-23.60690206466885,OPERANDO,PRATA,METRO,JARDIM PLANALTO
